,name,月齢,頭囲,sex
0,男子 (3 %ile),0.0,311.0,男子
1,男子 (3 %ile),1.0,344.0,男子
2,男子 (3 %ile),1.5,356.0,男子
3,男子 (3 %ile),2.5,373.0,男子
4,男子 (3 %ile),3.5,385.0,男子
5,男子 (3 %ile),4.5,395.0,男子
6,男子 (3 %ile),5.5,404.0,男子
7,男子 (3 %ile),6.5,411.0,男子
8,男子 (3 %ile),7.5,417.0,男子
9,男子 (3 %ile),8.5,422.0,男子
10,男子 (3 %ile),9.5,427.0,男子
11,男子 (3 %ile),10.5,431.0,男子
12,男子 (3 %ile),11.5,434.0,男子
13,男子 (3 %ile),15.0,444.0,男子
14,男子 (3 %ile),21.0,455.0,男子
15,男子 (3 %ile),27.0,463.0,男子
16,男子 (3 %ile),33.0,470.0,男子
17,男子 (10 %ile),0.0,320.0,男子
18,男子 (10 %ile),1.0,352.0,男子
19,男子 (10 %ile),1.5,364.0,男子
20,男子 (10 %ile),2.5,381.0,男子
21,男子 (10 %ile),3.5,393.0,男子
22,男子 (10 %ile),4.5,403.0,男子
23,男子 (10 %ile),5.5,412.0,男子
24,男子 (10 %ile),6.5,419.0,男子
25,男子 (10 %ile),7.5,425.0,男子
26,男子 (10 %ile),8.5,430.0,男子
27,男子 (10 %ile),9.5,435.0,男子
28,男子 (10 %ile),10.5,438.0,男子
29,男子 (10 %ile),11.5,442.0,男子
30,男子 (10 %ile),15.0,451.0,男子
31,男子 (10 %ile),21.0,462.0,男子
32,男子 (10 %ile),27.0,471.0,男子
33,男子 (10 %ile),33.0,478.0,男子
34,男子 (25 %ile),0.0,328.0,男子
35,男子 (25 %ile),1.0,360.0,男子
36,男子 (25 %ile),1.5,372.0,男子
37,男子 (25 %ile),2.5,388.0,男子
38,男子 (25 %ile),3.5,401.0,男子
39,男子 (25 %ile),4.5,411.0,男子
40,男子 (25 %ile),5.5,419.0,男子
41,男子 (25 %ile),6.5,427.0,男子
42,男子 (25 %ile),7.5,433.0,男子
43,男子 (25 %ile),8.5,438.0,男子
44,男子 (25 %ile),9.5,443.0,男子
45,男子 (25 %ile),10.5,446.0,男子
46,男子 (25 %ile),11.5,450.0,男子
47,男子 (25 %ile),15.0,459.0,男子
48,男子 (25 %ile),21.0,470.0,男子
49,男子 (25 %ile),27.0,479.0,男子
50,男子 (25 %ile),33.0,486.0,男子
51,男子 (50 %ile),0.0,337.0,男子
52,男子 (50 %ile),1.0,368.0,男子
53,男子 (50 %ile),1.5,380.0,男子
54,男子 (50 %ile),2.5,397.0,男子
55,男子 (50 %ile),3.5,409.0,男子
56,男子 (50 %ile),4.5,420.0,男子
57,男子 (50 %ile),5.5,428.0,男子
58,男子 (50 %ile),6.5,435.0,男子
59,男子 (50 %ile),7.5,442.0,男子
60,男子 (50 %ile),8.5,447.0,男子
61,男子 (50 %ile),9.5,451.0,男子
62,男子 (50 %ile),10.5,455.0,男子
63,男子 (50 %ile),11.5,459.0,男子
64,男子 (50 %ile),15.0,468.0,男子
65,男子 (50 %ile),21.0,479.0,男子
66,男子 (50 %ile),27.0,488.0,男子
67,男子 (50 %ile),33.0,495.0,男子
68,男子 (75 %ile),0.0,346.0,男子
69,男子 (75 %ile),1.0,376.0,男子
70,男子 (75 %ile),1.5,388.0,男子
71,男子 (75 %ile),2.5,405.0,男子
72,男子 (75 %ile),3.5,418.0,男子
73,男子 (75 %ile),4.5,428.0,男子
74,男子 (75 %ile),5.5,437.0,男子
75,男子 (75 %ile),6.5,444.0,男子
76,男子 (75 %ile),7.5,450.0,男子
77,男子 (75 %ile),8.5,456.0,男子
78,男子 (75 %ile),9.5,460.0,男子
79,男子 (75 %ile),10.5,464.0,男子
80,男子 (75 %ile),11.5,468.0,男子
81,男子 (75 %ile),15.0,477.0,男子
82,男子 (75 %ile),21.0,489.0,男子
83,男子 (75 %ile),27.0,497.0,男子
84,男子 (75 %ile),33.0,505.0,男子
85,男子 (90 %ile),0.0,353.0,男子
86,男子 (90 %ile),1.0,383.0,男子
87,男子 (90 %ile),1.5,395.0,男子
88,男子 (90 %ile),2.5,412.0,男子
89,男子 (90 %ile),3.5,425.0,男子
90,男子 (90 %ile),4.5,436.0,男子
91,男子 (90 %ile),5.5,445.0,男子
92,男子 (90 %ile),6.5,452.0,男子
93,男子 (90 %ile),7.5,459.0,男子
94,男子 (90 %ile),8.5,464.0,男子
95,男子 (90 %ile),9.5,469.0,男子
96,男子 (90 %ile),10.5,473.0,男子
97,男子 (90 %ile),11.5,476.0,男子
98,男子 (90 %ile),15.0,486.0,男子
99,男子 (90 %ile),21.0,497.0,男子
100,男子 (90 %ile),27.0,506.0,男子
101,男子 (90 %ile),33.0,513.0,男子
102,男子 (97 %ile),0.0,361.0,男子
103,男子 (97 %ile),1.0,389.0,男子
104,男子 (97 %ile),1.5,402.0,男子
105,男子 (97 %ile),2.5,420.0,男子
106,男子 (97 %ile),3.5,433.0,男子
107,男子 (97 %ile),4.5,443.0,男子
108,男子 (97 %ile),5.5,452.0,男子
109,男子 (97 %ile),6.5,460.0,男子
110,男子 (97 %ile),7.5,466.0,男子
111,男子 (97 %ile),8.5,472.0,男子
112,男子 (97 %ile),9.5,477.0,男子
113,男子 (97 %ile),10.5,481.0,男子
114,男子 (97 %ile),11.5,485.0,男子
115,男子 (97 %ile),15.0,494.0,男子
116,男子 (97 %ile),21.0,506.0,男子
117,男子 (97 %ile),27.0,515.0,男子
118,男子 (97 %ile),33.0,523.0,男子
